user_name,twitter_id,party_name,state,office_title,account_type,first_name,middle_name,last_name,suffix,status,collecting,showing,bioguide_id,gender,fec_candidate_id,district,branch
MorgunSholtyNV,1491675900257058818,Republican,NV,House Candidate,campaign,Morgun,"",Sholty,"",1,true,true,,M,H2NV01280,01,H
BrogForNevada,1491469539313397762,Republican,NV,House Candidate,campaign,David,"",Brog,"",1,true,true,,M,H2NV01298,01,H
CandiceforMN_D1,1503790339404058627,Democrat,MN,House Candidate,campaign,Candice,Deal,Bartell,"",1,true,true,,F,H2MN01256,01,H
KenNavitsky,2800279758,Republican,MN,House Candidate,campaign,Ken,"",Navitsky,"",1,true,true,,M,H2MN01298,01,H
NelsTPierson,499072725,Republican,MN,House Candidate,campaign,Nels,"",Pierson,"",1,true,true,,M,H2MN01306,01,H
jeremymunson,33216214,Republican,MN,House Candidate,campaign,Jeremy,"",Munson,"",1,true,true,,M,H2MN01165,01,H
KevinKocinaMN,1501018159658291202,Republican,MN,House Candidate,campaign,Kevin,"",Kocina,"",1,true,true,,M,H2MN01199,01,H
BradFinstad,3221588438,Republican,MN,House Candidate,campaign,Brad,"",Finstad,"",1,true,true,,M,H2MN01223,01,H
jkcarnah,1443345746506432512,Republican,MN,House Candidate,campaign,Jennifer,"",Carnahan,"",1,true,true,,F,H2MN01272,01,H
benda4congress,1500559727893254144,Republican,MN,House Candidate,campaign,Matt,"",Benda,"",1,true,true,,M,H2MN01181,01,H
SouthernMN4Jeff,1503772316525867011,Democrat,MN,House Candidate,campaign,Jeff,"",Ettinger,"",1,true,true,,M,H2MN01249,01,H
SarahBrakebillH,1501717597955366913,Democrat,MN,House Candidate,campaign,Sarah,"",Brakebill-Hacke,"",1,true,true,,F,H2MN01207,01,H
Team_DENT,612044099,Democrat,MD,House Candidate,campaign,Marques,"",Dent,"",1,true,true,,M,H2MD02327,02,H
Matt4VA11,1480593139568103435,Republican,VA,House Candidate,campaign,Matthew,"",Chappell,"",1,true,true,,M,H2VA11214,11,H
babbforcongress,1483995446804680714,Republican,VA,House Candidate,campaign,Joe,"",Babb,"",1,true,true,,M,H2VA11248,11,H
Brooke4Congress,1489067098794086400,Republican,VA,House Candidate,campaign,Brooke,"",Taylor,"",1,true,true,,F,H2VA10265,10,H
BrandonMichon,1256246389123751941,Republican,VA,House Candidate,campaign,Brandon,"",Michon,"",1,true,true,,M,H2VA10257,10,H
Jmayhugh28,276992728,Republican,VA,House Candidate,campaign,Jeff,"",Mayhugh,"",1,true,true,,M,H2VA10281,10,H
CalebMaxVA10,1480673822101626883,Republican,VA,House Candidate,campaign,Caleb,"",Max,"",1,true,true,,M,H2VA10224,10,H
JohnHenleyVA,1480179445038292992,Republican,VA,House Candidate,campaign,John,"",Henley,"",1,true,true,,M,H2VA10232,10,H
HungCaoCongress,1486809015615209474,Republican,VA,House Candidate,campaign,Hung,"",Cao,"",1,true,true,,M,H2VA10240,10,H
DaveB4congress,1492700566006468608,Republican,VA,House Candidate,campaign,Dave,"",Beckwith,"",1,true,true,,M,H2VA10273,10,H
kezia_tunnell,1477820552995876865,Republican,VA,House Candidate,campaign,Kezia,"",Tunnell,"",1,true,true,,F,H2VA08178,08,H
KarinaCongress,1454476808594857989,Republican,VA,House Candidate,campaign,Karina,"",Lipsman,"",1,true,true,,F,H2VA08152,08,H
JeffJordan2022,1225486934266478595,Republican,VA,House Candidate,campaign,Jeff,"",Jordan,"",1,true,true,,M,H2VA08160,08,H
VoteVanuch,1493284319569354755,Republican,VA,House Candidate,campaign,Crystal,"",Vanuch,"",1,true,true,,F,H2VA07287,07,H
Ross4Liberty,1487098983579275264,Republican,VA,House Candidate,campaign,Dave,"",Ross,"",1,true,true,,M,H2VA07279,07,H
MerrittHale,1479464942805917705,Republican,VA,House Candidate,campaign,Merritt,"",Hale,"",1,true,true,,M,H2VA06206,06,H
votedanmoy,1484755472569802753,Republican,VA,House Candidate,campaign,Dan,"",Moy,"",1,true,true,,M,H2VA05125,05,H
TerryNamkung,1462576688773189634,Republican,VA,House Candidate,campaign,Terry,"",Namkung,"",1,true,true,,M,H2VA03070,03,H
herb4virginia,1032563522515939328,Democrat,VA,House Candidate,campaign,Herb,"",Jones,"",1,true,true,,M,H2VA01124,01,H
MaryPeltola,1514353565510164482,Democrat,AK,House Candidate,campaign,Mary,"",Peltola,"",1,true,true,,F,H2AK01158,01,H
TimAaldersUtah,1247345546802745350,Republican,UT,House Candidate,campaign,Tim,"",Aalders,"",1,true,true,,M,H2UT03280,03,H
SarahPalinUSA,65493023,Republican,AK,House Candidate,campaign,Sarah,"",Palin,"",1,true,true,,F,H2AK00226,01,H
electmattstoll,1487199258235183106,Republican,CA,House Candidate,campaign,Matt,"",Stoll,"",1,true,true,,M,H2CA22249,22,H
cconway157,4040924358,Republican,CA,House Candidate,campaign,Connie,"",Conway,"",1,true,true,,F,H2CA22231,22,H
RobertsforSTL,4785820572,Democrat,MO,House Candidate,campaign,Steve,"",Roberts,"",1,true,true,,M,H2MO01229,01,H
DanielsForUSRep,1481432567211560972,Democrat,MO,House Candidate,campaign,Michael,"",Daniels,"",1,true,true,,M,H2MO01203,01,H
GenaRossforMO6,1294805940798205956,Democrat,MO,Senate Candidate,campaign,Gena,"",Ross,"",1,true,true,,F,S2MO00650,00,S
DaveSchatzMO,95689513,Republican,MO,Senate Candidate,campaign,Dave,"",Schatz,"",1,true,true,,M,S2MO00643,00,S
buschvalentine,1507439443694833669,Democrat,MO,Senate Candidate,campaign,Trudy,Busch,Valentine,"",1,true,true,,F,S2MO00692,00,S
GarrettBartonSC,1421331252838273027,Republican,SC,House Candidate,campaign,Garrett,"",Barton,"",1,true,true,,M,H2SC07298,07,H
KenRichardsonD7,1486144132569518086,Republican,SC,House Candidate,campaign,Ken,"",Richardson,"",1,true,true,,M,H2SC07173,07,H
Marcel4Congress,1436828590784630788,Democrat,SC,House Candidate,campaign,Marcel,"",Dixon,"",1,true,true,,M,H2SC06134,06,H
KevinCongressSC,1358523467243679748,Democrat,SC,House Candidate,campaign,Kevin,"",Eckert,"",1,true,true,,M,H2SC05094,05,H
Lapierre4House4,1145382190894780420,Republican,SC,House Candidate,campaign,Michael,J,LaPierre,"",1,true,true,,M,H2SC04139,04,H
tnovsa,51971452,Democrat,SC,Senate Candidate,campaign,Catherine,Fleming,Bruce,"",1,true,true,,F,S2SC00145,00,S
philheimlich,47836428,Republican,OH,House Candidate,campaign,Phil,"",Heimlich,"",1,true,true,,M,H2OH08082,08,H
MatthewDiemer,913796543295062016,Democrat,OH,House Candidate,campaign,Matthew,"",Diemer,"",1,true,true,,M,H2OH16044,07,H
HeberlingOH,478931948,Democrat,OH,House Candidate,campaign,Martin,"",Heberling,"",1,true,true,,M,H2OH05070,05,H
